wallet_id,total_tx,total_value,avg_value,total_gas,avg_gas,total_cumulative_gas,avg_cumulative_gas,block_range,nonce_range,active_days
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,1946,8.549214778133612e+21,4.393224449195074e+18,961493977.0,494087.3468653649,12120162272.0,6228243.716341212,15823280,4250866,2513.0240046296294
0x06b51c6882b27cb05e712185531c1f74996dd988,4,2.430185e+16,6075462500000000.0,365024.0,91256.0,38704771.0,9676192.75,30,2,0.004895833333333334
0x0795732aacc448030ef374374eaae57d2965c16c,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,17353742.0,5784580.666666667,135,1,0.02277777777777778
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,24,2.0178349488453268e+20,8.407645620188863e+18,3475668.0,144819.5,211671383.0,8819640.958333334,12541462,20,1879.4619791666667
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,4,2.6004691e+16,6501172750000000.0,365024.0,91256.0,27570485.0,6892621.25,416015,2,63.88224537037037
0x104ae61d8d487ad689969a17807ddc338b445416,5,9.608856676e+17,1.9217713352e+17,386024.0,77204.8,40074417.0,8014883.4,4504671,2,698.1034953703704
0x111c7208a7e2af345d36b6d4aace8740d61a3078,5,2.9013191e+16,5802638200000000.0,587943.0,117588.6,31706149.0,6341229.8,215,3,0.03263888888888889
0x124853fecb522c57d9bd5c21231058696ca6d596,6,3.4272474e+16,5712079000000000.0,780578.0,130096.33333333333,47618236.0,7936372.666666667,143,4,0.023055555555555555
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,19458807.0,6486269.0,22,1,0.00400462962962963
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,120,2.6e+19,2.1666666666666666e+17,46941497.0,391179.14166666666,866219469.0,7218495.575,758180,833,117.01118055555555
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,4,3866200000000000.0,966550000000000.0,346040.0,86510.0,38163848.0,9540962.0,139642,754996,21.695219907407406
0x19df3e87f73c4aaf4809295561465b993e102668,16,1.413276436288313e+17,8832977726801956.0,3359536.0,209971.0,146243827.0,9140239.1875,14305459,12,2125.340150462963
0x1ab2ccad4fc97c9968ea87d4435326715be32872,4,2.8135932e+16,7033983000000000.0,365024.0,91256.0,26446657.0,6611664.25,76,2,0.01
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,115,2.0996132970833917e+18,1.825750693115993e+16,10661336.0,92707.26956521739,793697091.0,6901713.834782609,1708631,2008208,264.25111111111113
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,2,2.91310133e+16,1.456550665e+16,188777.0,94388.5,9645381.0,4822690.5,232,0,0.03837962962962963
0x22d7510588d90ed5a87e0f838391aaafa707c34b,2,6.188685182e+17,3.094342591e+17,51244.0,25622.0,8188622.0,4094311.0,365160,3,56.50681712962963
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,21,4.353785830913218e+17,2.0732313480539132e+16,2947021.0,140334.33333333334,155699984.0,7414284.952380952,1050236,18,161.94472222222223
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,6,4.78233476e+16,7970557933333333.0,1857786.0,309631.0,28921790.0,4820298.333333333,3056982,3,480.93677083333336
0x27f72a000d8e9f324583f3a3491ea66998275b28,4,3.1233925e+16,7808481250000000.0,365024.0,91256.0,33286462.0,8321615.5,52723,2,8.097291666666667
0x2844658bf341db96aa247259824f42025e3bcec2,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,15137011.0,5045670.333333333,4386,1,0.6747337962962963
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,4,3.33417187e+16,8335429675000000.0,365024.0,91256.0,27797185.0,6949296.25,158,2,0.023842592592592592
0x330513970efd9e8dd606275fb4c50378989b3204,104,7.2697130970990445e+19,6.99010874721062e+17,19717172.0,189588.1923076923,766638739.0,7371526.336538462,12307268,3140618,1845.7190972222222
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,99,2.2868690741063978e+20,2.3099687617236337e+18,10702063.0,108101.64646464646,483577309.0,4884619.282828283,3893503,3597717,628.681875
